Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
GERD, Stomach Pain, Acidity, Ulcers On Tongue, Vomiting, Cough,,,,,,,,,,,,
GERD, Acidity, Ulcers On Tongue, Vomiting, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Ulcers On Tongue, Vomiting, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Vomiting, Cough, Chest Pain,,,,,,,,,,,,
GERD, Stomach Pain, Acidity, Ulcers On Tongue, Cough, Chest Pain,,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,
Chronic cholestasis, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Yellowing Of Eyes,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain,,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,
Chronic cholestasis,Itching, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Stomach Pain, Burning Micturition, Spotting  Urination,,,,,,,,,,,,
Drug Reaction,Itching, Stomach Pain, Burning Micturition, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Burning Micturition, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Stomach Pain, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Stomach Pain, Burning Micturition,,,,,,,,,,,,,
Drug Reaction, Skin Rash, Stomach Pain, Burning Micturition, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Stomach Pain, Burning Micturition, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Burning Micturition, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Stomach Pain, Spotting  Urination,,,,,,,,,,,,,
Drug Reaction,Itching, Skin Rash, Stomach Pain, Burning Micturition,,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Loss Of Appetite, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Indigestion, Loss Of Appetite, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Loss Of Appetite, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Loss Of Appetite, Passage Of Gases, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Loss Of Appetite, Abdominal Pain, Internal Itching,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Loss Of Appetite, Abdominal Pain, Passage Of Gases,,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Loss Of Appetite, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,
Peptic ulcer diseae, Vomiting, Indigestion, Loss Of Appetite, Abdominal Pain, Passage Of Gases, Internal Itching,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, High Fever, Extra Marital Contacts,,,,,,,,,,,,,
AIDS, Patches In Throat, High Fever, Extra Marital Contacts,,,,,,,,,,,,,,
AIDS, Muscle Wasting, High Fever, Extra Marital Contacts,,,,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, Extra Marital Contacts,,,,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, High Fever,,,,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, High Fever, Extra Marital Contacts,,,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, High Fever, Extra Marital Contacts,,,,,,,,,,,,,
AIDS, Patches In Throat, High Fever, Extra Marital Contacts,,,,,,,,,,,,,,
AIDS, Muscle Wasting, High Fever, Extra Marital Contacts,,,,,,,,,,,,,,
AIDS, Muscle Wasting, Patches In Throat, High Fever,,,,,,,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,
Diabetes , Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Blurred And Distorted Vision, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Obesity, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Excessive Hunger, Increased Appetite, Polyuria,,,,,,,,
Diabetes , Fatigue, Weight Loss, Restlessness, Lethargy, Irregular Sugar Level, Blurred And Distorted Vision, Obesity, Increased Appetite, Polyuria,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Dehydration, Diarrhoea,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Dehydration, Diarrhoea,,,,,,,,,,,,,
Gastroenteritis, Sunken Eyes, Dehydration, Diarrhoea,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Dehydration, Diarrhoea,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Diarrhoea,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Dehydration,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Dehydration, Diarrhoea,,,,,,,,,,,,,
Gastroenteritis, Sunken Eyes, Dehydration, Diarrhoea,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Dehydration, Diarrhoea,,,,,,,,,,,,,,
Gastroenteritis, Vomiting, Sunken Eyes, Diarrhoea,,,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,
Bronchial Asthma, Cough, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, High Fever, Family History, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, High Fever, Breathlessness, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, High Fever, Breathlessness, Family History,,,,,,,,,,,,
Bronchial Asthma, Fatigue, Cough, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,
Bronchial Asthma, Cough, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,,
Bronchial Asthma, Fatigue, High Fever, Breathlessness, Family History, Mucoid Sputum,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,
Hypertension , Chest Pain, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Dizziness, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,
Hypertension , Chest Pain, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Dizziness, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Hypertension , Headache, Chest Pain, Loss Of Balance, Lack Of Concentration,,,,,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,
Migraine, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Excessive Hunger, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Stiff Neck, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Depression, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Irritability, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Visual Disturbances,,,,,,,,,
Migraine, Acidity, Indigestion, Headache, Blurred And Distorted Vision, Excessive Hunger, Stiff Neck, Depression, Irritability,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,
Cervical spondylosis, Weakness In Limbs, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Neck Pain, Loss Of Balance,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Neck Pain, Dizziness,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Weakness In Limbs, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,
Cervical spondylosis, Weakness In Limbs, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Cervical spondylosis, Back Pain, Neck Pain, Dizziness, Loss Of Balance,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Headache, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Altered Sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Weakness Of One Body Side,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Headache, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Weakness Of One Body Side, Altered Sensorium,,,,,,,,,,,,,,
Paralysis (brain hemorrhage), Vomiting, Headache, Altered Sensorium,,,,,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,
Jaundice, Vomiting, Fatigue, Weight Loss, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Fatigue, Weight Loss, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Weight Loss, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, High Fever, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, Yellowish Skin, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, High Fever, Dark Urine, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, High Fever, Yellowish Skin, Abdominal Pain,,,,,,,,,,
Jaundice,Itching, Vomiting, Fatigue, Weight Loss, High Fever, Yellowish Skin, Dark Urine,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Headache, Nausea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,
Malaria, Vomiting, High Fever, Sweating, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, High Fever, Sweating, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, Sweating, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Headache, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Nausea, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Headache, Diarrhoea, Muscle Pain,,,,,,,,,,
Malaria, Chills, Vomiting, High Fever, Sweating, Headache, Nausea, Muscle Pain,,,,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, High Fever, Headache, Loss Of Appetite, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,
Chicken pox, Skin Rash, Fatigue, Lethargy, High Fever, Headache, Loss Of Appetite, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Fatigue, Lethargy, High Fever, Headache, Loss Of Appetite, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Lethargy, High Fever, Headache, Loss Of Appetite, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, High Fever, Headache, Loss Of Appetite, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, Headache, Loss Of Appetite, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, High Fever, Loss Of Appetite, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, High Fever, Headache, Mild Fever, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, High Fever, Headache, Loss Of Appetite, Swelled Lymph Nodes, Malaise, Red Spots Over Body,,,,,,,
Chicken pox,Itching, Skin Rash, Fatigue, Lethargy, High Fever, Headache, Loss Of Appetite, Mild Fever, Malaise, Red Spots Over Body,,,,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,
Dengue, Chills, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Joint Pain, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Joint Pain, Fatigue, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, High Fever, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Dengue, Skin Rash, Chills, Joint Pain, Vomiting, Fatigue, Headache, Nausea, Loss Of Appetite, Pain Behind The Eyes, Back Pain, Malaise, Muscle Pain, Red Spots Over Body,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Nausea, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Toxic Look (Typhos), Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhoea, Belly Pain,,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos),,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,
Typhoid, Chills, Vomiting, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,
Typhoid, Chills, Fatigue, High Fever, Headache, Nausea, Constipation, Abdominal Pain, Diarrhoea, Toxic Look (Typhos), Belly Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,
hepatitis A, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Nausea, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Abdominal Pain, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Diarrhoea, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
hepatitis A, Joint Pain, Vomiting, Yellowish Skin, Dark Urine, Nausea, Loss Of Appetite, Abdominal Pain, Mild Fever, Yellowing Of Eyes, Muscle Pain,,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,
Hepatitis B, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Loss Of Appetite, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Abdominal Pain, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Yellow Urine, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis B,Itching, Fatigue, Lethargy, Yellowish Skin, Dark Urine, Loss Of Appetite, Abdominal Pain, Yellowing Of Eyes, Malaise, Receiving Blood Transfusion, Receiving Unsterile Injections,,,,,,
Hepatitis C, Fatigue, Yellowish Skin, Nausea, Loss Of Appetite, Family History,,,,,,,,,,,,
